seq	unit	hypothesis	change	measurement	verdict	evidence
0	baseline	MED tx-origin-tripwire costs ~3.9M tokens; understand the composition	none (offline read of baseline log)	total 3,903,944 = input 2,020,175 + output 31,201 + cache_read 1,852,568; by_phase all "unknown"; status verify_failed; 4 LLM calls	VERIFIED	~/.agent-fleet/fleet/runs/dispatch-0-51f59f56.jsonl
1	root-cause	61% of run is doomed fix attempts against a non-fixable harness crash	none (offline analysis)	calls 3+4 = 608,036 + 1,758,830 = 2,366,866 (61%) = two fix attempts after a pytest collection crash (hallucinated import lakestore.raw_lane, a module that does not exist)	VERIFIED	dispatch-0-51f59f56.jsonl; lake-of-rage has no raw_lane module
2	E1	Classifying verify failures as bootstrap vs test and skipping the fix loop on bootstrap removes the 2.37M waste deterministically	classify_verify_failure + last_verify_failure_is_bootstrap in phases.py; bootstrap guard in code_review/loop.py	11 unit tests green; full suite 488 passed; ty + ruff clean; committed ff603cf	VERIFIED (offline); live effect conditional on hitting a bootstrap error	commit ff603cf; tests/test_verify_classification.py
3	E2	The 633K execute-call input is our seed prompt	offline loadout measurement	seed prompt ~900 tokens (0.14%); the other 99.86% is cursor-agent autonomously reading the lake-of-rage repo (5,432 py files)	REFUTED (seed is tiny) / thesis corrected: cost is agentic repo reads	Explore subagent report; cursor_backend.py injects no file content
4	E3	A well-specified, self-contained task cuts blind exploration while keeping correctness difficulty	rewrote tx-origin-tripwire: point at exact schema modules + existing test pattern, drop untracked-spec dependency, keep cross-package import trap	dispatch/efficiency-bench-tripwire.json written	VERIFIED in run 1	dispatch/efficiency-bench-tripwire.json
5	E4-run1	With E3, the same task goes green at far lower tokens and produces an accurate test	live dispatch on lake-of-rage	total 146,328 (was 3,903,944 = 26.7x drop); execute input 78,792 (was 633,374 = 8x drop); status completed, review approve, 1 changed file; produced test correct (added test_no_cross_lane_field_bleed, deferred import, right assertions, dodged baseline bootstrap trap)	VERIFIED for E3; but ran OLD agent-fleet (finder maps to /Documents/agent-fleet, not v085): by_phase=unknown (U9 absent), E1 not loaded	dispatch-0-4683ce66.jsonl; worktree test read
6	finding	Installed ~/.local agent-fleet (watcher + all dispatches) points at OLD checkout, not v085	none	__editable__.agent_fleet-0.7.0 MAPPING = /home/evan/Documents/agent-fleet/agent_fleet; v085 work not live	VERIFIED	finder MAPPING grep
7	E4-run2	Re-run with v085 venv binary so E1/U6/U9 actually load; expect non-unknown by_phase + review.gate.skipped	/home/evan/Documents/agent-fleet-v085/.venv/bin/agent-fleet dag run	total 145,795 (was 3,903,944 = 26.8x drop); by_phase={execute} NON-UNKNOWN (U9 live); review.gate.skipped {changed_lines:10,threshold:50,pass:first} present (U6 live); status completed, review approve, 1 file, tokens_per_changed_line 14,580; produced test correct (deferred imports, both assertions, kept existing test)	VERIFIED (live; telemetry path is agent-fleet-v085, not old checkout)	dispatch-0-de95700c.jsonl; worktree task-0-02a4b7bb test read
8	stability	Dispatch process never exits after fleet.task.complete; hangs on a lingering cursor-sdk-bridge child	none (observed both runs)	run1 (OLD) + run2 (v085) both still alive 5-10min post-complete, each parented to a cursor-sdk-bridge sh child on its worktree; pre-existing leak, not introduced by v085	OBSERVED — stability gap	pgrep tree 2620221->bridge(f6256000), 2624891->bridge(02a4b7bb)
9	finding	E1 (bootstrap skip) did NOT fire this run; well-specified task made verify green, so E1 stays the offline-verified (11 tests) defensive net for when verify DOES crash	none	dominant live levers were E3 (task spec: execute input 633K->78K AND prevented the bootstrap crash that caused the 2.37M doomed fixes) + U6 (review skipped). E1 dormant-but-correct	VERIFIED reasoning	dispatch-0-de95700c.jsonl event stream (no verify.bootstrap_error, no fix llm call)
10	E5-armW	Well-specification generalizes from the trivial tripwire to a HARDER task (real bug fix + 2 regression tests): stays cheap AND accurate	new self-contained well-specified dispatch — fix to_snap bootstrap bug in bronze_snapshot_diff + _batches; exact file:line pointers + PyIceberg snapshot_id mechanism + 2-snapshot test design; persona lakestore, MED, allowed_paths packages/lakestore/	total 98,681 (input 55,497 + cache_read 41,929 + output 1,255); by_phase={execute} 1 call; review.gate.skipped {changed_lines:34,pass:first}; status completed, approve, 2 files, tokens/line 2,902; 39.6x below 3.9M baseline and below tripwire 145,795 on a harder task. ACCURACY: both branches fixed (snapshot_id=effective_to L105/L148), no other branch touched, 2 tests PASS on fix and FAIL on reverted bug (runtime non-vacuity proven), existing 578 green	VERIFIED (live + accuracy runtime-proven)	dispatch-0-052785f9.jsonl; worktree task-0-88d633bd commit e0e9c8c; revert-test 2 passed->2 failed
11	E5-armU	Isolate specification as the causal token lever: SAME task/deliverable/persona/scope, only the prompt is vague (no pointers, no mechanism, no test design)	under-specified dispatch of the identical deliverable	total 262,805 (input 136,948 + cache_read 123,552 + output 2,305); by_phase={execute} 1 call; review.gate.skipped {changed_lines:36,pass:first}; status completed, approve, 2 files, tokens/line 7,300. 2.66x the well-specified arm (exec input 2.47x, cache_read 2.95x) = exploration premium. ACCURACY: also CORRECT — both branches fixed, 2 real tests PASS on fix and FAIL on revert. Under-spec cost tokens, not accuracy, for this task+model	VERIFIED (clean A/B; only variable is specification)	dispatch-0-1bf956ba.jsonl; worktree task-0-f234a5c1 commit 4b21f6a; revert-test 2 passed->2 failed
12	finding	What the clean A/B proves about the efficiency lever and its limits	none (analysis of armW vs armU)	Specification is a clean 2.66x TOKEN lever on a harder real task with all else held equal — confirms the tripwire 26.8x was not a trivial-task artifact (well-spec arm 98,681 < tripwire 145,795 despite being harder). Accuracy held in BOTH arms here (capable model + discoverable docstring contract), so on this task the lever is tokens not correctness; under-spec accuracy risk stays task-dependent. U6 (review skip) and U9 (phase binding) fired live in both arms; E1 stayed dormant (verify green both arms)	VERIFIED	dispatch-0-052785f9 vs dispatch-0-1bf956ba; both diffs graded + revert-tested
